Name,Average.coverage,Reference.length
1,11.904,546573
2,0.013,216404
3,13.657,309594
4,17.140,251905
5,22.842,249304
6,1.269,241593
7,20.197,236032
8,419.181,230406
9,386.974,226976
10,13.200,206984
11,14.244,201747
12,1.634,190066
13,448.246,189292
14,1.397,187548
15,392.437,186282
16,1.176,168300
17,1.102,165933
18,0.009,154255
19,11.723,160850
20,0.005,143798
21,1.896,156619
22,0.005,151483
23,0.020,140540
24,18.465,151690
25,0.005,134881
26,1.234,148898
27,0.091,100004
28,22.946,147870
29,1.160,146459
30,15.092,142533
31,1.275,140387
32,342.278,132472
33,1.310,130729
34,17.823,129594
35,22.317,125943
36,22.475,125482
37,21.909,124469
38,22.795,117762
39,21.758,116906
40,32.013,116071
41,14.509,111152
42,1.310,110928
43,12.722,107668
44,30.038,107012
45,22.438,102758
46,12.892,98486
47,0.008,38524
48,18.548,95463
49,1.288,95423
50,22.895,91805
51,19.192,91414
52,364.544,91076
53,0.013,88840
54,16.450,89071
55,17.570,88532
56,23.126,87635
57,12.508,87127
58,32.818,86668
59,1.045,86384
60,0.008,77892
61,15.007,80335
62,23.980,79504
63,21.614,78700
64,1.177,78266
65,0.002,68941
66,18.430,75677
67,21.315,73771
68,30.416,72778
69,341.090,72243
70,29.628,72000
71,35.979,71650
72,23.044,70565
74,19.451,70291
75,16.610,70032
76,28.008,69773
77,352.383,68926
78,18.039,67779
79,10.626,67733
80,24.140,66057
81,23.012,64961
82,20.812,63357
83,15.105,62943
84,436.349,62852
85,16.883,62192
86,18.023,62056
87,30.271,60899
88,1.333,58428
90,12.970,59381
91,17.355,59318
92,12.174,59007
93,12.350,59009
94,22.032,58681
96,376.018,56142
97,24.003,56036
98,23.000,55508
99,18.282,55263
100,0.009,51259
101,23.377,53920
102,22.282,53850
103,22.011,53471
104,17.403,53278
105,37.214,53050
107,368.196,52135
108,1.094,51944
109,0.019,45714
110,21.564,51121
111,0.030,34110
112,20.081,50710
113,22.308,50537
115,18.044,49600
116,23.711,49477
117,31.707,49143
118,426.874,49137
119,349.248,48959
121,32.313,48588
122,11.990,47719
123,18.234,47583
124,0.019,46720
125,0.435,45989
126,21.054,46168
128,15.727,45590
130,32.463,45238
132,30.917,44924
133,38.906,44538
138,35.172,44098
139,370.236,43892
140,12.522,43828
142,34.394,43261
143,27.842,43243
144,22.028,43004
145,29.780,42894
147,22.822,41730
148,332.351,41708
150,0.008,37781
152,0.004,19619
153,17.670,40926
154,22.672,40634
155,1.109,40560
157,23.774,39699
158,0.017,17444
159,0.016,38149
160,29.415,39169
161,1.015,39106
164,18.946,37603
165,1.222,37332
166,1.256,37211
168,36.633,36715
170,18.175,36328
172,30.475,35573
174,22.608,35222
176,21.604,34918
177,0.012,24233
178,20.058,34620
179,462.388,34517
180,28.816,34377
183,38.117,34087
184,186.020,34044
185,37.279,33817
186,0.522,32286
187,390.117,33497
189,19.494,33400
190,33.155,33342
193,30.472,32862
195,28.549,32771
196,23.977,32758
197,29.363,32595
199,9.510,32440
201,29.950,31949
203,32.025,31908
204,27.304,31704
205,22.887,31698
206,21.154,31612
207,22.084,31580
209,1.335,31336
210,0.023,25894
211,0.040,5742
212,22.090,30997
213,20.401,30923
216,20.355,30608
217,22.748,30565
218,0.345,30242
219,13.868,30217
220,23.945,30213
223,23.535,29825
226,11.971,29318
228,31.818,29292
230,23.803,28706
233,23.422,28363
235,35.637,28208
237,22.931,27980
239,32.967,27951
241,14.932,27876
242,31.766,27833
243,26.068,27766
244,21.083,27726
246,34.809,27492
248,20.242,26979
249,32.319,26999
252,40.229,26525
253,22.071,26463
256,0.532,24157
258,0.289,25758
261,36.688,25676
263,0.530,23311
264,23.728,25236
265,26.079,25077
266,31.027,25054
267,30.406,24909
269,0.346,24508
271,8.536,24532
272,0.639,24525
273,0.626,24167
278,34.733,23858
279,27.433,23825
280,28.121,23828
281,6.016,23753
282,33.883,23670
284,29.876,23583
288,0.383,23212
291,368.658,23177
292,30.939,23128
294,23.557,23139
296,16.982,23118
299,31.148,22996
300,30.745,22935
304,22.305,22780
305,27.709,22758
307,32.870,22674
308,32.007,22554
315,1.180,21917
316,35.174,22209
317,31.010,22062
324,40.557,21794
326,341.904,21698
327,13.678,21652
330,28.225,21451
336,23.771,21326
339,127.417,21219
344,29.353,21147
346,19.881,21076
347,90.120,20989
348,13.926,20805
351,30.268,20669
353,22.068,20638
355,11.159,20581
356,29.057,20456
360,32.614,20124
362,340.746,20056
370,19.176,19633
372,32.795,19567
375,22.454,19418
376,17.129,19349
377,22.778,19332
381,0.749,18754
382,14.273,19140
384,0.441,18296
385,29.007,18965
389,21.655,18823
390,37.304,18790
391,37.649,18759
392,25.402,18741
395,33.709,18629
397,65.619,18610
399,31.234,18494
401,29.832,18447
402,35.168,18442
410,14.508,18277
413,0.524,17561
421,23.278,17938
424,173.075,17844
427,31.578,17744
429,31.460,17713
434,23.417,17560
436,28.591,17428
438,32.284,17369
439,0.359,17200
440,11.760,17355
443,245.815,17239
446,31.315,17141
448,18.936,17103
449,21.065,17099
450,28.967,17078
451,34.667,17022
452,30.984,17021
453,32.486,17015
454,31.713,17013
456,10.969,16981
458,35.018,16943
459,3.905,16820
463,371.228,16846
464,13.026,16827
466,447.147,16752
468,0.338,15412
469,0.309,16705
472,29.174,16579
474,45.171,16494
479,12.468,16307
482,24.501,16267
486,0.363,15932
487,31.102,16188
492,39.845,16071
495,22.514,16002
499,13.101,15908
505,30.392,15638
510,18.846,15475
511,48.810,15465
515,386.164,15385
517,29.912,15364
520,26.924,15246
527,24.568,15107
531,33.348,15011
534,31.286,14892
535,419.890,14884
536,0.676,14872
541,32.694,14732
542,29.119,14729
546,22.574,14576
548,28.118,14524
549,29.872,14506
553,1.173,14198
555,16.897,14330
556,21.491,14279
557,22.161,14267
561,28.745,14242
565,460.959,14161
567,19.576,14148
569,24.240,14112
571,22.264,14101
577,37.786,14025
581,0.625,13961
585,38.471,13832
594,21.148,13674
599,15.219,13594
611,10.062,13358
612,40.843,13381
615,22.347,13276
617,33.611,13278
622,5.113,13166
625,31.304,13115
629,13.175,13010
630,13.375,12998
632,21.394,12981
635,28.090,12973
636,37.910,12970
641,14.558,12899
642,35.028,12861
643,20.752,12858
655,26.870,12642
657,329.391,12628
658,103.474,12616
667,0.290,12473
669,39.645,12419
674,28.593,12319
675,14.130,12312
679,39.741,12289
681,42.524,12273
682,18.127,12267
686,33.846,12164
687,0.229,10275
691,33.322,12137
697,0.320,11806
698,36.958,12009
699,52.531,11997
700,39.950,11962
707,12.160,11884
708,33.688,11875
710,18.788,11853
712,29.753,11820
713,20.123,11794
715,33.200,11731
716,10.449,11695
717,0.338,11023
727,33.492,11543
731,38.994,11508
732,29.111,11505
734,13.144,11453
739,10.133,11295
742,21.480,11285
744,0.036,8228
745,8.322,11237
746,32.878,11232
751,32.333,11161
754,18.802,11121
756,30.303,11100
764,30.848,11020
769,0.190,10785
772,0.423,9975
777,28.845,10909
779,32.418,10888
781,36.646,10877
783,15.418,10867
784,30.178,10865
786,29.630,10856
787,239.414,10850
788,23.165,10842
789,0.182,9932
791,20.120,10814
792,35.536,10792
798,0.411,8895
802,25.384,10703
803,26.345,10688
807,12.633,10663
812,20.046,10622
814,22.298,10604
815,29.615,10592
828,33.382,10458
830,22.547,10434
831,0.485,10168
832,5.573,10431
835,32.548,10373
838,0.373,10229
840,20.972,10264
841,0.015,9999
846,8.577,10159
848,248.841,10155
854,37.968,10104
857,13.688,10024
862,18.586,10010
864,0.578,8581
865,23.895,9982
867,30.272,9949
872,0.473,9514
883,29.733,9860
884,27.700,9831
886,18.979,9755
887,203.843,9763
890,0.915,8395
891,32.969,9701
892,30.704,9698
893,84.084,9694
896,15.052,9650
899,178.439,9617
903,32.299,9565
905,36.400,9558
908,33.557,9555
910,32.249,9545
917,64.126,9502
918,33.500,9497
920,18.120,9495
925,40.049,9445
929,39.826,9419
930,31.445,9395
933,4.355,9270
935,27.189,9356
940,0.349,8628
946,1.199,8288
947,28.802,9245
954,0.571,7160
955,0.257,7620
959,0.504,7618
969,30.531,9158
971,37.834,9149
972,30.040,9144
975,105.856,9128
977,22.287,9100
979,0.017,6868
983,21.838,9016
985,14.598,9013
988,71.627,8998
990,24.628,8987
1004,29.237,8896
1005,32.522,8896
1007,13.400,8885
1011,37.661,8834
1015,13.441,8812
1016,0.115,8798
1021,34.063,8775
1026,1.002,8718
1028,26.236,8721
1030,15.620,8706
1031,53.461,8697
1035,19.907,8649
1036,0.917,8587
1041,27.295,8597
1042,29.247,8577
1043,0.503,4788
1048,27.999,8553
1052,33.417,8539
1053,33.971,8537
1055,0.636,8316
1058,38.076,8518
1062,37.969,8474
1065,1.367,8238
1068,37.186,8433
1069,39.326,8411
1071,31.552,8398
1073,0.671,8208
1075,38.106,8363
1078,21.888,8337
1081,22.108,8314
1090,0.555,8213
1091,34.778,8220
1092,15.389,8212
1096,0.359,6781
1098,31.261,8144
1106,25.618,8114
1107,38.161,8114
1108,33.337,8106
1113,37.832,8082
1114,3.110,8071
1116,0.587,6702
1117,17.043,8058
1118,14.530,8054
1119,0.509,4139
1120,22.078,8028
1128,37.393,7997
1130,347.942,7985
1131,33.706,7983
1137,12.876,7942
1142,22.077,7924
1144,31.137,7910
1145,0.202,5968
1156,17.570,7827
1160,1.038,7793
1162,35.670,7778
1171,0.014,3193
1174,0.541,7221
1180,0.778,7481
1186,70.092,7632
1192,0.309,6346
1194,0.426,6970
1196,0.710,7579
1197,21.406,7578
1198,0.885,6147
1200,20.297,7562
1203,39.825,7553
1204,24.907,7551
1206,30.165,7531
1208,10.803,7522
1209,27.940,7519
1211,0.175,6898
1221,30.505,7447
1222,11.793,7444
1230,33.212,7416
1234,192.991,7389
1237,81.666,7370
1242,151.507,7344
1247,10.639,7311
1249,207.969,7302
1251,37.885,7289
1260,0.835,7242
1261,28.363,7229
1268,0.906,7162
1273,22.613,7187
1277,23.055,7172
1280,17.115,7136
1281,39.843,7130
1282,31.826,7124
1289,0.768,6773
1291,37.374,7088
1302,0.400,6764
1303,28.705,7042
1312,14.338,7021
1313,0.379,6787
1315,23.232,7007
1316,8.782,6996
1317,11.266,7000
1318,0.455,6252
1320,35.506,6989
1325,1.938,5651
1326,33.386,6978
1327,10.623,6978
1333,15.591,6920
1336,0.243,5713
1338,0.513,5574
1348,38.260,6884
1350,92.350,6882
1352,141.553,6869
1358,13.399,6852
1359,36.564,6849
1364,17.771,6819
1365,42.135,6816
1366,0.731,5672
1367,0.704,6789
1380,32.200,6754
1390,37.901,6719
1393,0.188,6230
1404,39.363,6667
1410,30.916,6621
1412,15.078,6615
1417,22.274,6599
1427,37.575,6560
1432,184.857,6542
1433,11.378,6541
1448,118.618,6504
1456,0.116,5174
1460,42.206,6414
1463,38.097,6389
1475,37.981,6347
1476,36.097,6344
1480,42.699,6335
1482,15.879,6330
1487,0.485,6218
1493,39.925,6305
1496,25.828,6298
1497,26.501,6293
1501,113.759,6281
1515,41.749,6214
1523,0.203,5926
1527,19.812,6181
1529,27.056,6180
1534,33.295,6169
1535,20.237,6169
1536,19.606,6169
1548,41.537,6124
1552,34.453,6105
1557,23.730,6087
1563,16.629,6076
1564,39.163,6074
1589,32.018,5998
1604,33.958,5959
1625,0.217,5552
1627,27.896,5911
1628,17.390,5911
1631,0.798,5889
1636,29.334,5875
1639,0.284,5407
1641,29.986,5844
1643,38.424,5840
1657,0.490,3294
1659,0.491,5730
1660,0.340,5751
1669,27.640,5757
1671,14.268,5755
1674,1.242,5618
1685,11.512,5651
1687,7.899,5701
1688,0.175,4270
1698,18.134,5671
1701,48.822,5669
1744,2.715,5523
1746,0.244,4044
1749,23.230,5537
1752,36.197,5529
1755,0.254,4610
1757,14.766,5516
1784,25.646,5431
1790,10.804,5420
1795,31.834,5417
